         2324420 function calls (2171995 primitive calls) in 1.523 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1357    0.128    0.000    0.128    0.000 {built-in method marshal.loads}
     1985    0.076    0.000    0.076    0.000 {built-in method builtins.compile}
61526/752    0.054    0.000    0.115    0.000 expressions.py:140(match_core)
4388/4283    0.046    0.000    0.366    0.000 {built-in method builtins.__build_class__}
   1534/6    0.043    0.000    1.523    0.254 <frozen importlib._bootstrap>:663(_load_unlocked)
  155/138    0.031    0.000    0.052    0.000 {built-in method _imp.create_dynamic}
    18278    0.027    0.000    0.044    0.000 cell.py:74(_get_column_letter)
     4365    0.023    0.000    0.023    0.000 {method 'sub' of 're.Pattern' objects}
   3505/1    0.020    0.000    1.525    1.525 {built-in method builtins.exec}
     6879    0.019    0.000    0.019    0.000 {built-in method posix.stat}
     2474    0.019    0.000    0.031    0.000 inspect.py:613(cleandoc)
   148693    0.019    0.000    0.020    0.000 {built-in method builtins.isinstance}
 1434/392    0.019    0.000    0.054    0.000 sre_parse.py:475(_parse)
    99031    0.018    0.000    0.019    0.000 {built-in method builtins.getattr}
     2636    0.016    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      166    0.016    0.000    0.016    0.000 abc.py:7(abstractmethod)
     7145    0.016    0.000    0.016    0.000 {built-in method __new__ of type object at 0x7f0ac6079b80}
      299    0.015    0.000    0.039    0.000 doccer.py:12(docformat)
     2388    0.014    0.000    0.014    0.000 {method 'findall' of 're.Pattern' objects}
52866/52790    0.014    0.000    0.016    0.000 {method 'join' of 'str' objects}
12603/752    0.014    0.000    0.037    0.000 nodes.py:198(visit)
14664/919    0.012    0.000    0.106    0.000 expressions.py:354(_uncached_match)
36272/36244    0.012    0.000    0.013    0.000 {built-in method builtins.hasattr}
     1741    0.012    0.000    0.033    0.000 inspect.py:2117(_signature_from_function)
     1688    0.012    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1505    0.011    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      920    0.011    0.000    0.014    0.000 sre_compile.py:276(_optimize_charset)
   181661    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
    76051    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
11885/752    0.010    0.000    0.114    0.000 expressions.py:328(_uncached_match)
     1505    0.010    0.000    0.010    0.000 {method 'read' of '_io.FileIO' objects}
     1465    0.010    0.000    0.073    0.000 decorator.py:162(make)
 2555/368    0.010    0.000    0.027    0.000 sre_compile.py:71(_compile)
    25656    0.009    0.000    0.009    0.000 sre_parse.py:233(__next)
    88874    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
     1357    0.009    0.000    0.183    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    14473    0.008    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
125963/123153    0.008    0.000    0.009    0.000 {built-in method builtins.len}
     1693    0.008    0.000    0.094    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    37925    0.008    0.000    0.008    0.000 {built-in method builtins.min}
        1    0.008    0.008    0.053    0.053 cell.py:5(<module>)
     1331    0.008    0.000    0.039    0.000 inspect.py:1089(getfullargspec)
    27636    0.007    0.000    0.013    0.000 expressions.py:237(_uncached_match)
    14473    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1465    0.007    0.000    0.035    0.000 decorator.py:93(__init__)
     5343    0.007    0.000    0.012    0.000 inspect.py:2467(__init__)
    10965    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
     2714    0.006    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     2122    0.006    0.000    0.009    0.000 inspect.py:2750(__init__)
     8946    0.006    0.000    0.006    0.000 {method 'splitlines' of 'str' objects}
      328    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
   1796/5    0.006    0.000    1.524    0.305 <frozen importlib._bootstrap>:978(_find_and_load)
     2887    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      295    0.006    0.000    0.011    0.000 doccer.py:179(indentcount_lines)
2080/1744    0.006    0.000    0.043    0.000 inspect.py:2198(_signature_from_callable)
     1465    0.006    0.000    0.117    0.000 decorator.py:197(create)
     2144    0.006    0.000    0.045    0.000 textwrap.py:414(dedent)
    54151    0.005    0.000    0.005    0.000 {built-in method builtins.divmod}
     4967    0.005    0.000    0.106    0.000 re.py:271(_compile)
    16935    0.005    0.000    0.008    0.000 sre_parse.py:164(__getitem__)
10179/3504    0.005    0.000    0.724    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    19333    0.005    0.000    0.005    0.000 {built-in method builtins.setattr}
     1516    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    14334    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
  154/144    0.005    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
   1779/5    0.005    0.000    1.524    0.305 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    21817    0.005    0.000    0.012    0.000 sre_parse.py:254(get)
 3035/873    0.005    0.000    0.007    0.000 sre_parse.py:174(getwidth)
12603/752    0.005    0.000    0.034    0.000 nodes.py:217(<listcomp>)
     9941    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
     5474    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
     2973    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
    62158    0.004    0.000    0.004    0.000 {built-in method builtins.id}
    54902    0.004    0.000    0.004    0.000 {built-in method builtins.chr}
     2887    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
     5376    0.004    0.000    0.008    0.000 expressions.py:277(_uncached_match)
     1397    0.004    0.000    0.013    0.000 descriptors.py:221(add_prop_descriptor_to_class)
